source	target	score
ORM1	AHSG	0.926
ORM1	HP	0.973
ORM1	SERPINA1	0.979
ORM1	ALB	0.998
ORM1	ORM2	0.999
LOXL4	FBLN5	0.755
LOXL4	ELN	0.777
SLC40A1	CP	0.982
SLC40A1	HEPH	0.992
COX17	NDUFB1	0.723
COX17	MT1E	0.754
COX17	COX6B1	0.76
COX17	COX10	0.762
COX17	ATP7A	0.775
COX17	SOD1	0.781
COX17	SLC31A1	0.783
COX17	CCS	0.816
COX17	SURF1	0.819
COX17	COA5	0.842
COX17	CHCHD7	0.86
COX17	COA6	0.864
COX17	MT-CO2	0.894
COX17	COX11	0.939
COX17	ATOX1	0.954
COX17	SCO2	0.98
COX17	COX19	0.984
SNCAIP	PARK7	0.705
SNCAIP	SNCA	0.999
COX10	COA6	0.715
COX10	COX7B	0.72
COX10	COX7A1	0.742
COX10	NDUFA4	0.823
COX10	UQCRFS1	0.857
COX10	HMOX2	0.911
COX10	COX6B1	0.952
COX10	SCO2	0.955
COX10	SURF1	0.977
COX10	COX11	0.982
COX10	MT-CO2	0.991
COX10	MT-CO1	0.996
COX10	MT-CO3	0.998
SLC30A4	ATP7A	0.72
LOXL1	CLU	0.702
LOXL1	BGN	0.727
LOXL1	BMP1	0.727
LOXL1	MFAP2	0.877
LOXL1	ELN	0.962
LOXL1	FBLN5	0.997
LPO	ALB	0.705
LPO	LALBA	0.953
TYR	POMC	0.777
TYR	AFP	0.777
TYR	ASIP	0.793
TYR	TYRP1	0.896
TYR	SLC24A5	0.907
TYR	TRPM1	0.916
TYR	MC1R	0.96
TYR	DDC	0.962
TYR	TH	0.963
TYR	SLC45A2	0.97
TYR	MLANA	0.985
GPC1	BGN	0.766
GPC1	HSPG2	0.894
LOXL3	FBLN5	0.767
LOXL3	ELN	0.81
LOXL3	BMP1	0.845
CP	F2	0.703
CP	ATOX1	0.723
CP	AFP	0.737
CP	AHSG	0.776
CP	MT1E	0.78
CP	CLU	0.794
CP	SERPINA3	0.822
CP	TF	0.835
CP	HPX	0.88
CP	A2M	0.889
CP	HEPH	0.904
CP	ORM2	0.908
CP	HMOX2	0.917
CP	ALB	0.936
CP	ATP7A	0.939
CP	SERPINA1	0.944
CP	HP	0.947
HPX	F2	0.716
HPX	CLU	0.743
HPX	FGA	0.791
HPX	ORM2	0.817
HPX	A2M	0.824
HPX	TF	0.852
HPX	AHSG	0.879
HPX	SERPINA1	0.897
HPX	ALB	0.981
HPX	HP	0.994
SOD1	ATP7A	0.715
SOD1	MT-CO1	0.72
SOD1	MAP3K5	0.721
SOD1	UQCRFS1	0.737
SOD1	PRNP	0.74
SOD1	FN1	0.773
SOD1	APP	0.802
SOD1	SNCA	0.897
SOD1	ATOX1	0.932
SOD1	HSPA4	0.963
SOD1	VDAC1	0.996
SOD1	PARK7	0.997
SOD1	CCS	0.999
AHSG	F5	0.701
AHSG	FN1	0.712
AHSG	A2M	0.803
AHSG	SERPINA3	0.848
AHSG	TF	0.866
AHSG	HP	0.882
AHSG	ORM2	0.908
AHSG	SERPINA7	0.916
AHSG	AFP	0.92
AHSG	APOA2	0.943
AHSG	SERPINA1	0.971
AHSG	F2	0.98
AHSG	FGA	0.984
AHSG	ALB	0.999
APP	CYCS	0.709
APP	HMOX2	0.719
APP	MAP3K5	0.728
APP	PARK7	0.731
APP	BGN	0.738
APP	LRP2	0.745
APP	S100B	0.748
APP	SERPINA1	0.764
APP	FN1	0.782
APP	FGA	0.785
APP	SERPINA3	0.8
APP	APOA4	0.827
APP	HSPG2	0.841
APP	HSPA4	0.849
APP	AGER	0.881
APP	ALB	0.901
APP	APOA2	0.902
APP	A2M	0.905
APP	F11	0.954
APP	LCN2	0.974
APP	SNCA	0.993
APP	MAPT	0.995
APP	CLU	0.998
APP	PRNP	0.998
S100B	MAPT	0.906
S100B	AGER	0.999
COX7A1	COA6	0.757
COX7A1	COX8A	0.757
COX7A1	COX7B2	0.776
COX7A1	COX6B2	0.826
COX7A1	UQCRHL	0.843
COX7A1	NDUFA4	0.849
COX7A1	MT-ND4L	0.853
COX7A1	NDUFB1	0.857
COX7A1	MT-ND6	0.858
COX7A1	NDUFB6	0.919
COX7A1	COX7A2L	0.921
COX7A1	COX7B	0.977
COX7A1	MT-CO1	0.979
COX7A1	MT-CO3	0.979
COX7A1	MT-CO2	0.984
COX7A1	UQCRFS1	0.985
COX7A1	COX6B1	0.998
COX7A1	UQCR11	0.999
ALB	MT1E	0.708
ALB	LCN2	0.712
ALB	HSPA4	0.742
ALB	F5	0.747
ALB	ELN	0.783
ALB	AGER	0.797
ALB	POMC	0.822
ALB	APOA4	0.824
ALB	CLU	0.831
ALB	CSN2	0.896
ALB	ENSP00000497443	0.9
ALB	TF	0.9
ALB	SERPINA3	0.914
ALB	AFP	0.927
ALB	SERPINA7	0.945
ALB	APOA2	0.962
ALB	FGA	0.975
ALB	A2M	0.98
ALB	CYCS	0.986
ALB	F2	0.99
ALB	LRP2	0.994
ALB	HP	0.995
ALB	LALBA	0.997
ALB	SERPINA1	0.998
ALB	ORM2	0.998
ALB	FN1	0.998
SLC45A2	ASIP	0.767
SLC45A2	MLANA	0.809
SLC45A2	MC1R	0.909
SLC45A2	TYRP1	0.959
SLC45A2	SLC24A5	0.985
COX11	COX18	0.716
COX11	COA5	0.725
COX11	CHCHD7	0.768
COX11	CYCS	0.772
COX11	ATOX1	0.777
COX11	UQCRFS1	0.787
COX11	COA6	0.804
COX11	COX19	0.903
COX11	SURF1	0.912
COX11	SCO2	0.923
COX11	MT-CO1	0.964
COX11	MT-CO3	0.977
COX11	MT-CO2	0.979
LALBA	CYCS	0.713
LALBA	CSN2	0.984
MAP2K1	FN1	0.727
HSPA4	FN1	0.718
HSPA4	AGER	0.807
HSPA4	PRNP	0.833
HSPA4	CYCS	0.866
HSPA4	PARK7	0.953
HSPA4	MAPT	0.957
HSPA4	SNCA	0.994
BMP1	HSPG2	0.724
BMP1	BGN	0.725
BMP1	LOXL2	0.846
BMP1	FN1	0.894
LRTOMT	TH	0.724
LRTOMT	AOC3	0.907
LRTOMT	COMT	0.917
LRTOMT	DBH	0.965
LRTOMT	DDC	0.976
LRTOMT	MAOA	0.989
LRTOMT	MAOB	0.99
PAM	CYB561	0.87
UQCRFS1	VDAC1	0.768
UQCRFS1	COX8A	0.779
UQCRFS1	COX7B2	0.822
UQCRFS1	SCO2	0.854
UQCRFS1	SURF1	0.883
UQCRFS1	MT-ND6	0.897
UQCRFS1	GATC	0.925
UQCRFS1	NDUFB1	0.925
UQCRFS1	COX7A2L	0.928
UQCRFS1	COA6	0.949
UQCRFS1	COX6B2	0.951
UQCRFS1	COX7B	0.976
UQCRFS1	NDUFA4	0.976
UQCRFS1	MT-ND4L	0.979
UQCRFS1	UQCRHL	0.984
UQCRFS1	NDUFB6	0.985
UQCRFS1	C1ORF198	0.987
UQCRFS1	COX6B1	0.997
UQCRFS1	MT-CO1	0.999
UQCRFS1	CYCS	0.999
UQCRFS1	MT-CO2	0.999
UQCRFS1	MT-CO3	0.999
UQCRFS1	UQCR11	0.999
CHCHD7	COA6	0.742
CHCHD7	COA5	0.786
CHCHD7	COX19	0.82
PRND	SPRN	0.881
PRND	PRNP	0.953
CYCS	COX8A	0.72
CYCS	C1ORF198	0.728
CYCS	COX6B2	0.744
CYCS	THYN1	0.746
CYCS	UQCR11	0.755
CYCS	UQCRHL	0.789
CYCS	NDUFA4	0.791
CYCS	COX19	0.799
CYCS	SCO2	0.834
CYCS	COX7B	0.858
CYCS	COX6B1	0.941
CYCS	MT-CO3	0.987
CYCS	MT-CO2	0.993
CYCS	MT-CO1	0.996
CYCS	VDAC1	0.996
COMMD1	ATP7A	0.735
COMMD1	CLU	0.766
COMMD1	ATOX1	0.86
F2	A2M	0.7
F2	TF	0.725
F2	SERPINA7	0.753
F2	F11	0.767
F2	SERPINA1	0.79
F2	FN1	0.792
F2	APOA2	0.798
F2	AFP	0.973
F2	FGA	0.999
F2	F5	0.999
AOC3	DBH	0.902
AOC3	DDC	0.904
AOC3	COMT	0.906
AOC3	ALDH9A1	0.928
AOC3	ALDH1B1	0.93
AOC3	MAOA	0.959
AOC3	MAOB	0.974
CLU	FN1	0.802
CLU	ELN	0.804
CLU	HP	0.804
CLU	SNCA	0.861
CLU	SERPINA1	0.896
CLU	A2M	0.896
CLU	APOA2	0.967
CLU	APOA4	0.976
CLU	LRP2	0.994
COX8A	COX7B2	0.728
COX8A	UQCR11	0.837
COX8A	COX7A2L	0.912
COX8A	MT-CO3	0.978
COX8A	MT-CO2	0.982
COX8A	NDUFA4	0.989
COX8A	MT-CO1	0.99
COX8A	COX7B	0.997
COX8A	COX6B1	0.998
A2M	LRP2	0.761
A2M	APOA2	0.772
A2M	ORM2	0.808
A2M	TF	0.82
A2M	FGA	0.832
A2M	FN1	0.851
A2M	SERPINA3	0.929
A2M	SERPINA1	0.98
A2M	HP	0.997
BGN	MFAP2	0.886
BGN	ELN	0.99
BGN	FN1	0.995
BGN	HSPG2	0.997
MT1E	MT1HL1	0.786
MT1E	ATP7A	0.801
MT1E	LRP2	0.871
SERPINA7	AFP	0.71
SERPINA7	FGA	0.827
COA5	COA6	0.754
COA5	COX19	0.774
NDUFA4	COA6	0.702
NDUFA4	COX7B2	0.717
NDUFA4	PARK7	0.777
NDUFA4	MT-ND4L	0.812
NDUFA4	MT-ND6	0.819
NDUFA4	UQCRHL	0.843
NDUFA4	COX7A2L	0.938
NDUFA4	UQCR11	0.958
NDUFA4	NDUFB1	0.984
NDUFA4	NDUFB6	0.991
NDUFA4	MT-CO3	0.993
NDUFA4	MT-CO1	0.993
NDUFA4	MT-CO2	0.996
NDUFA4	COX7B	0.997
NDUFA4	COX6B1	0.999
PARK7	MAPT	0.772
PARK7	SOD3	0.901
PARK7	VDAC1	0.934
PARK7	MAP3K5	0.991
PARK7	SNCA	0.994
MAOA	SNCA	0.71
MAOA	TH	0.785
MAOA	ALDH9A1	0.939
MAOA	ALDH1B1	0.941
MAOA	MAOB	0.965
MAOA	AOC1	0.97
MAOA	DDC	0.986
MAOA	DBH	0.987
MAOA	COMT	0.996
MAPT	PRNP	0.884
MAPT	VDAC1	0.975
MAPT	SNCA	0.994
SLC24A5	ASIP	0.748
SLC24A5	MC1R	0.858
SLC24A5	TYRP1	0.899
THYN1	MT-CO2	0.837
THYN1	MT-CO3	0.837
THYN1	MT-CO1	0.837
COX19	COA6	0.836
FBLN5	MFAP2	0.857
FBLN5	LOXL2	0.859
FBLN5	FN1	0.865
FBLN5	ELN	0.999
ATP7A	SOD3	0.87
ATP7A	SLC31A1	0.938
ATP7A	POMC	0.964
ATP7A	CCS	0.993
ATP7A	ATOX1	0.999
ALDH9A1	AOC1	0.936
ALDH9A1	MAOB	0.94
FN1	LOXL2	0.819
FN1	SERPINA1	0.825
FN1	FGA	0.932
FN1	LCN2	0.964
FN1	HSPG2	0.996
FN1	ELN	0.998
HP	LCN2	0.711
HP	APOA2	0.738
HP	TF	0.805
HP	SERPINA3	0.873
HP	ORM2	0.952
HP	SERPINA1	0.961
APOA4	SERPINA1	0.793
APOA4	APOA2	0.994
ELN	SERPINA1	0.718
ELN	HSPG2	0.81
ELN	LOXL2	0.934
ELN	MFAP2	0.996
MT-CO1	GATC	0.809
MT-CO1	COX7B2	0.852
MT-CO1	NDUFB1	0.864
MT-CO1	COA3	0.867
MT-CO1	SURF1	0.873
MT-CO1	MT-ATP8	0.897
MT-CO1	COA6	0.903
MT-CO1	NDUFB6	0.909
MT-CO1	UQCRHL	0.928
MT-CO1	C1ORF198	0.933
MT-CO1	COX6B2	0.94
MT-CO1	SCO2	0.969
MT-CO1	COX7A2L	0.969
MT-CO1	UQCR11	0.973
MT-CO1	MT-ND4L	0.992
MT-CO1	COX7B	0.995
MT-CO1	MT-ND6	0.995
MT-CO1	COX6B1	0.998
MT-CO1	MT-CO2	0.999
MT-CO1	MT-CO3	0.999
COMT	TH	0.789
COMT	DBH	0.979
COMT	DDC	0.981
COMT	MAOB	0.996
MT-ND6	UQCR11	0.857
MT-ND6	COX6B1	0.868
MT-ND6	COX7B	0.875
MT-ND6	MT-ATP8	0.95
MT-ND6	NDUFB1	0.976
MT-ND6	MT-CO2	0.991
MT-ND6	NDUFB6	0.995
MT-ND6	MT-CO3	0.996
MT-ND6	MT-ND4L	0.999
MT-ND4L	UQCRHL	0.794
MT-ND4L	UQCR11	0.855
MT-ND4L	COX7B	0.869
MT-ND4L	COX6B1	0.871
MT-ND4L	NDUFB1	0.96
MT-ND4L	MT-ATP8	0.99
MT-ND4L	MT-CO2	0.995
MT-ND4L	NDUFB6	0.996
MT-ND4L	MT-CO3	0.996
COA3	MT-CO2	0.732
COA3	COA6	0.826
COA3	SURF1	0.92
MT-CO2	NDUFB1	0.79
MT-CO2	NDUFB6	0.808
MT-CO2	VDAC1	0.811
MT-CO2	COX7B2	0.817
MT-CO2	SURF1	0.89
MT-CO2	GATC	0.909
MT-CO2	MT-ATP8	0.938
MT-CO2	UQCRHL	0.94
MT-CO2	COX6B2	0.944
MT-CO2	COX7A2L	0.945
MT-CO2	UQCR11	0.957
MT-CO2	COA6	0.97
MT-CO2	C1ORF198	0.972
MT-CO2	COX7B	0.996
MT-CO2	SCO2	0.996
MT-CO2	COX18	0.997
MT-CO2	MT-CO3	0.999
MT-CO2	COX6B1	0.999
MT-CO3	COX7B2	0.805
MT-CO3	SURF1	0.848
MT-CO3	NDUFB1	0.85
MT-CO3	NDUFB6	0.863
MT-CO3	GATC	0.9
MT-CO3	UQCRHL	0.925
MT-CO3	COA6	0.937
MT-CO3	COX6B2	0.942
MT-CO3	MT-ATP8	0.957
MT-CO3	SCO2	0.965
MT-CO3	COX7A2L	0.967
MT-CO3	UQCR11	0.967
MT-CO3	C1ORF198	0.973
MT-CO3	COX7B	0.987
MT-CO3	COX6B1	0.999
COA6	COX18	0.712
COA6	COX6B1	0.738
COA6	GATC	0.772
COA6	COX7B	0.807
COA6	C1ORF198	0.81
COA6	UQCR11	0.816
COA6	UQCRHL	0.892
COA6	SCO2	0.907
C1ORF198	NDUFB6	0.759
C1ORF198	COX6B2	0.81
C1ORF198	COX6B1	0.81
C1ORF198	UQCR11	0.843
C1ORF198	UQCRHL	0.881
C1ORF198	GATC	0.897
F5	F11	0.725
F5	SERPINA1	0.773
APOA2	LRP2	0.701
APOA2	TF	0.806
APOA2	SERPINA1	0.822
APOA2	ORM2	0.834
APOA2	FGA	0.893
APOA2	AFP	0.905
S100A12	AGER	0.999
CUTC	CUTA	0.738
SURF1	COX6B1	0.827
SURF1	SCO2	0.97
LCN2	POMC	0.72
LCN2	LRP2	0.984
SLC31A1	CCS	0.801
SLC31A1	ATOX1	0.885
AGER	S100A13	0.954
ALDH1B1	AOC1	0.932
ALDH1B1	MAOB	0.941
MAOB	TH	0.792
MAOB	SNCA	0.815
MAOB	AOC1	0.971
MAOB	DBH	0.984
MAOB	DDC	0.987
COX7A2L	UQCR11	0.8
COX7A2L	COX7B2	0.827
COX7A2L	COX7B	0.934
COX7A2L	COX6B1	0.951
NDUFB6	COX6B2	0.792
NDUFB6	SNCA	0.854
NDUFB6	COX7B	0.935
NDUFB6	UQCR11	0.963
NDUFB6	COX6B1	0.964
NDUFB6	NDUFB1	0.999
TH	POMC	0.748
TH	DBH	0.973
TH	DDC	0.995
TH	SNCA	0.997
MLANA	TRPM1	0.809
MLANA	TYRP1	0.902
SOD3	ATOX1	0.913
SOD3	CCS	0.917
TYRP1	POMC	0.729
TYRP1	TRPM1	0.816
TYRP1	ASIP	0.818
TYRP1	MC1R	0.934
DBH	CYB561	0.846
DBH	DDC	0.984
VDAC1	SNCA	0.979
AFP	TF	0.736
AFP	ORM2	0.762
AFP	SERPINA1	0.927
COX7B2	COX6B2	0.838
COX7B2	UQCR11	0.854
COX7B2	UQCRHL	0.856
COX7B2	COX7B	0.901
COX7B2	COX6B1	0.916
POMC	ASIP	0.905
POMC	MC1R	0.999
TF	SERPINA1	0.848
ORM2	FGA	0.751
ORM2	SERPINA3	0.903
ORM2	SERPINA1	0.972
PRNP	SPRN	0.877
PRNP	SNCA	0.984
DDC	AOC1	0.972
SERPINA1	FGA	0.831
ATOX1	SCO2	0.846
ATOX1	CCS	0.973
HEPH	HMOX2	0.916
SCO2	COX6B1	0.819
GATC	COX6B2	0.77
GATC	COX6B1	0.77
GATC	UQCRHL	0.795
GATC	UQCR11	0.821
MC1R	ASIP	0.999
COX6B1	UQCRHL	0.902
COX6B1	COX6B2	0.906
COX6B1	NDUFB1	0.944
COX6B1	COX7B	0.996
COX6B1	UQCR11	0.997
UQCR11	COX6B2	0.927
UQCR11	NDUFB1	0.961
UQCR11	COX7B	0.99
UQCR11	UQCRHL	0.994
COX6B2	COX7B	0.832
COX6B2	UQCRHL	0.863
NDUFB1	COX7B	0.956
UQCRHL	COX7B	0.881
